Price,Close,High,Low,Open,Volume
2014-11-03,168.0818328857422,168.64829178882005,167.6986303780883,168.20678331697044,93600000
2014-11-04,167.49867248535156,167.9401808591387,166.65729739818286,167.63194867868253,93343000
2014-11-05,168.5566864013672,168.76494563020483,167.81528405515053,168.7232912422104,91709000
2014-11-06,169.2313995361328,169.32303408104502,167.9735187024571,168.5982962238228,107089000
2014-11-07,169.3896942138672,169.60629190977082,168.7815809292589,169.24807948792457,89540000
2014-11-10,169.9228057861328,169.97278594943364,169.21473228748746,169.42299144199433,66319000
2014-11-11,170.08941650390625,170.19771533559125,169.64790809783273,169.9894561738158,54499400
2014-11-12,169.90618896484375,170.1394382487187,169.36470742567266,169.3980360154449,90120300
2014-11-13,170.09774780273438,170.63089072585845,169.2813754822603,170.07275772126997,85357900
2014-11-14,170.13943481445312,170.34769400736153,169.70625213408658,170.0228101748697,80417500
2014-11-17,170.24769592285156,170.42263921207422,169.64790851856034,169.81452601729828,80441000
2014-11-18,171.23069763183594,171.53891714580226,170.3060263788056,170.3060263788056,76068100
2014-11-19,170.9557342529297,171.23063779545572,170.18934227579365,171.03070447967488,82373000
2014-11-20,171.25567626953125,171.363975101743,170.08941733123763,170.1560617886656,72840300
2014-11-21,172.1719970703125,173.13832256959557,171.58887399699674,172.9717177930953,142327300
2014-11-24,172.65524291992188,172.7635417967803,172.36368759850157,172.5802726410826,65880800
2014-11-25,172.5302276611328,173.09668650336496,172.27198832357809,172.88842733293296,79108300
2014-11-26,172.9717559814453,173.0717163271886,172.46360303869625,172.68018802485082,62167800
2014-11-28,172.60520935058594,173.16334243899618,172.363634289773,172.84679712253077,57890100
2014-12-01,171.40565490722656,172.0554226228248,171.08910955291802,171.93879797415676,103968400
2014-12-02,172.51353454589844,172.72179368153581,171.42225870893927,171.44724878832542,74507200
2014-12-03,173.1800079345703,173.3965929116687,172.52191450072354,172.68851930704014,68952000
2014-12-04,172.9884033203125,173.49655621325397,172.18868249935517,172.88843027323583,91316600
2014-12-05,173.27162170410156,173.66314994311185,172.89675775706397,173.16332287297476,91025500
2014-12-08,172.11370849609375,173.37158930347246,171.54723694544316,172.87177492350764,108588200
2014-12-09,171.99705505371094,172.1053538712348,169.86448354976568,170.24767323909364,125180100
2014-12-10,169.23977661132812,171.5889340172947,169.048168975757,171.53062804513303,159856400
2014-12-11,170.09774780273438,171.76382102638834,169.6978937881738,169.83950848684879,159012800
2014-12-12,167.34873962402344,169.78954372790358,167.31542374942498,168.80655382697938,202330200
2014-12-15,166.1991729736328,168.7149477532399,165.5910596483271,168.25677495562604,189965800
2014-12-16,164.8662567138672,168.60658246256986,164.82460234665464,165.42438964335642,259543800
2014-12-17,168.09848022460938,168.5566529794312,165.18285159900216,165.3078147382074,253910100
2014-12-18,172.2553253173828,177.41182444957346,169.87283988140095,170.55593606686278,257633900
2014-12-19,172.98829650878906,173.66677847149788,172.2260459758219,172.91289968304082,245084600
2014-12-22,173.78402709960938,173.78402709960938,172.9380208735829,173.1809292497312,148318900
2014-12-23,174.0185546875,174.4206156394255,173.72537752135997,174.37035961809573,122167900
2014-12-24,174.0352783203125,174.51272321470321,173.99339404996266,174.2446868907769,42963400
2014-12-26,174.59652709960938,174.93996029220176,174.43737450883302,174.4876305309124,57326700
2014-12-29,174.83103942871094,175.04044801246695,174.34520998064275,174.41222226119893,79643900
2014-12-30,173.8928680419922,174.53783718463018,173.81747124891183,174.40382542408642,73540800
2014-12-31,172.16738891601562,174.3871280021789,172.04174885396162,174.21960365901083,130333800
2015-01-02,172.0752410888672,173.28982128164603,171.0281980132217,172.8710040513878,121465900
2015-01-05,168.96763610839844,171.18736247009298,168.65771542653994,171.0198381226367,169632600
2015-01-06,167.3760986328125,169.80523308712642,166.57196404899335,169.27751936707995,209151400
2015-01-07,169.46180725097656,169.80524040998517,168.2639962375917,168.7163131733623,125346700
2015-01-08,172.46893310546875,172.6867262487599,170.86906097370908,170.88580446066396,147217800
2015-01-09,171.08688354492188,172.9045492684129,170.46702927989588,172.88779299603627,158567300
2015-01-12,169.7466583251953,171.38005613327013,169.13518860363823,171.22090350324925,144396100
2015-01-13,169.26918029785156,172.11713246858025,167.95408800557067,170.97794904403116,214553300
2015-01-14,168.24725341796875,168.44829028398178,166.329076182249,167.23371012608965,192991100
2015-01-15,166.70602416992188,169.21054318097146,166.5887558494843,168.89225075766285,176613900
2015-01-16,168.89224243164062,169.05139502609322,166.31232672791032,166.49660733398304,211879600
2015-01-20,169.25241088867188,169.8052526800065,167.6692823271497,169.53720352737625,130991100
2015-01-21,170.10679626464844,170.59262575262738,168.31425915169214,168.7833323728341,122942700
2015-01-22,172.63644409179688,172.77045587358825,169.47855902370208,170.86903510773473,174356000
2015-01-23,171.68995666503906,172.63648780718634,171.55593206802388,172.37681035748602,117516800
2015-01-26,172.0919647216797,172.18410500611472,170.75175750778004,171.47212351846696,92009700
2015-01-27,169.82200622558594,170.9779330292382,168.98437180897193,170.01465856264684,134044600
2015-01-28,167.6441650390625,171.12034303354145,167.4515126865921,171.01983098552003,168514300
2015-01-29,169.1937713623047,169.45343597255868,166.42119085534728,167.845179512446,173585400
2015-01-30,167.0662078857422,169.34457487666967,166.79817147690366,168.00436726989923,197729700
2015-02-02,169.1351318359375,169.22727212864035,165.73433831100994,167.56875964127536,163107000
2015-02-03,171.58106994628906,171.5894544723902,169.66289231873068,170.03982533587737,124212900
2015-02-04,170.92767333984375,172.03335688105557,170.46697186433883,170.81040503528672,134306700
2015-02-05,172.65313720703125,172.8039179918263,171.52233883683772,171.5977228385942,97953200
2015-02-06,172.17575073242188,173.59135489086833,171.64803697881993,173.02175686167652,125672000
2015-02-09,171.4051513671875,172.25115760866407,170.99470586202008,171.52241968562276,87219000
2015-02-10,173.23117065429688,173.4908352769414,171.44700526720317,172.45217678636325,96164200
2015-02-11,173.3316650390625,173.7672384675809,172.41027494872932,173.0636287008642,91087800
2015-02-12,174.9986114501953,175.05725200465156,173.36522660783785,174.1358488724042,97545900
2015-02-13,175.71893310546875,175.76918912151592,174.86454248880932,175.1242198738628,93670400
2015-02-17,175.99534606933594,176.17125489888508,175.14934001421074,175.40062008315908,76968200
2015-02-18,176.01219177246094,176.08757583145078,175.35045317121634,175.61850242268042,80652900
2015-02-19,175.886474609375,176.25503580478946,175.26663330916625,175.40902962897874,91462500
2015-02-20,176.94192504882812,177.01730909001168,174.8394541708134,175.4676800765873,140896400
2015-02-23,176.91673278808594,176.91673278808594,176.30525059266353,176.69056796537788,74411100
