Date,Close,High,Low,Open,Volume,RSI,MACD,Volatility,Return,Momentum
2023-01-03,369.257080078125,374.69672812801167,366.3578460279055,372.69927875869115,74850700,34.52288062785058,-3.000370377846025,0.18030209014494614,-0.004209869664726362,-2.3756103515625
2023-01-04,372.10784912109375,374.1634745201176,368.4620050754478,371.5454431739836,85934100,34.440548145808506,-2.772513586608113,0.18400358060977884,0.007720282688596258,3.62652587890625
2023-01-05,367.8608093261719,370.24610753892307,367.2596392522316,370.1297558589303,76970500,33.287907416701174,-2.901192909459837,0.1782447586566703,-0.011413464684911223,-1.124725341796875
2023-01-06,376.296630859375,377.4311189189253,367.88989649639944,370.99271645676004,104189600,50.21626705386523,-2.2960049870003445,0.1920262277652,0.022932101814964856,1.793792724609375
2023-01-09,376.08331298828125,381.7460179093739,375.8991092209777,378.517110812085,73978100,54.67885975932929,-1.8127064165337856,0.19197557649170335,-0.0005668875392441652,6.923248291015625
2023-01-10,378.7206726074219,378.7885542752673,374.54154098152384,375.4917955584726,65358100,60.88205055022752,-1.203008405478613,0.19155544497805238,0.007012700452420306,7.43707275390625
2023-01-11,383.5107421875,383.58832970359543,379.49646116309526,380.32065837354753,68881100,64.14806958552359,-0.32950146842938466,0.19485900319058636,0.012648027759085245,13.691253662109375
2023-01-12,384.906982421875,386.3905254134234,380.5048530375986,384.62580907978474,90157700,61.0185936323354,0.4700060532935595,0.18872671992819334,0.0036406809009077445,19.683624267578125
2023-01-13,386.4002380371094,386.9820259950069,381.39690894473443,381.6684060462913,63903900,69.87924503868692,1.2101647469892782,0.1872970036115439,0.0038795233223327674,14.60272216796875
2023-01-17,385.6924133300781,388.0777411267566,385.00397949817483,386.38087675294776,62677300,67.17521374983266,1.7198054591872847,0.18604852765821062,-0.0018318433514092902,14.874237060546875
2023-01-18,379.6031188964844,387.9710896015496,379.39950344455025,386.89480690750094,99632300,60.50383274074055,1.6137420115436498,0.17327596936327738,-0.01578795491728402,10.346038818359375
2023-01-19,376.83966064453125,379.20554721591105,375.50155712424066,377.5377707341088,86958900,62.98228728473018,1.2918068343274172,0.16987126778385714,-0.007279861819856959,4.7318115234375
2023-01-20,383.85980224609375,384.01494767738205,376.58752660363507,378.2553030012775,91806400,63.347658384342274,1.5848682695752245,0.17705415038625633,0.018628988226864207,15.998992919921875
2023-01-23,388.465576171875,390.4242317555636,383.7046561749685,384.6742929256794,84178800,68.07710631252915,2.1638257953209177,0.1803663994622149,0.01199858359440431,12.1689453125
2023-01-24,388.0487060546875,388.96984337133813,385.56643791422186,386.7687782222995,59524900,69.71126021152911,2.559511416738303,0.17493309433280965,-0.0010731198406189746,11.96539306640625
2023-01-25,388.194091796875,388.53347058894747,381.6102497581479,383.9276958720154,84800300,67.88876746916807,2.851951020738568,0.16505386064897315,0.0003746584898212113,9.473419189453125
2023-01-26,392.46051025390625,392.625361536423,387.8838231940515,390.88970331060733,72287400,77.34440565964131,3.388910575764271,0.16734407960950898,0.010990426045081714,8.94976806640625
2023-01-27,393.3622131347656,395.7669228266242,391.1902363749992,391.40355763468796,68346200,72.78624557583245,3.8429160344339266,0.16563369630061964,0.0022975633402606555,8.455230712890625
2023-01-30,388.42681884765625,392.828978394241,388.12623379402066,390.56970798224273,74202000,64.6356925749023,3.761117735167204,0.16577532900690795,-0.012546691375814767,2.026580810546875
2023-01-31,394.1379699707031,394.1864399734376,388.601322637591,388.9504072665645,86811800,67.0383306284831,4.109759410968536,0.16244717975698744,0.01470328732704429,8.445556640625
